Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
154.900	0.028	154.852	139.053	3.182
155.000	-0.014	154.950	148.116	3.227
155.100	0.051	155.043	210.371	3.474
155.200	0.022	155.138	233.004	3.940
155.300	-0.049	155.241	290.226	4.441
155.400	0.026	155.348	275.660	5.009
155.500	0.023	155.446	259.173	5.522
155.600	-0.019	155.544	218.598	5.735
155.700	0.034	155.644	267.767	6.159
155.800	-0.076	155.749	170.944	0.378
155.900	0.066	155.845	194.660	0.291
156.000	-0.023	155.937	186.247	0.709
156.100	0.047	156.043	233.660	0.737
156.200	0.041	156.144	289.871	1.437
156.300	-0.048	156.240	228.349	1.633
156.400	-0.028	156.347	312.647	1.890
156.500	-0.021	156.448	310.680	2.404
156.600	0.072	156.547	377.275	2.671
156.700	0.115	156.641	447.478	3.199
